"","Class","Curated ID","Final ID (BLASTn)","Total reads","Total abundance","Ponte_Full_2020_MCE_Reads","Ponte_Full_2020_MCE_ASVs","Ponte_Full_2020_MCE_OTUs","Ponte_Full_2020_MCE_RRA","Fundação_Full_2020_MCE_Reads","Fundação_Full_2020_MCE_ASVs","Fundação_Full_2020_MCE_OTUs","Fundação_Full_2020_MCE_RRA","Prainha_Low_2021_MCE_Reads","Prainha_Low_2021_MCE_ASVs","Prainha_Low_2021_MCE_OTUs","Prainha_Low_2021_MCE_RRA","Barragem_Low_2021_MCE_Reads","Barragem_Low_2021_MCE_ASVs","Barragem_Low_2021_MCE_OTUs","Barragem_Low_2021_MCE_RRA","Ponte_Low_2021_MCE_Reads","Ponte_Low_2021_MCE_ASVs","Ponte_Low_2021_MCE_OTUs","Ponte_Low_2021_MCE_RRA","Fundação_Low_2021_MCE_Reads","Fundação_Low_2021_MCE_ASVs","Fundação_Low_2021_MCE_OTUs","Fundação_Low_2021_MCE_RRA","Prainha_Low_2021_Sterivex_Reads","Prainha_Low_2021_Sterivex_ASVs","Prainha_Low_2021_Sterivex_OTUs","Prainha_Low_2021_Sterivex_RRA","Barragem_Low_2021_Sterivex_Reads","Barragem_Low_2021_Sterivex_ASVs","Barragem_Low_2021_Sterivex_OTUs","Barragem_Low_2021_Sterivex_RRA","Ponte_Low_2021_Sterivex_Reads","Ponte_Low_2021_Sterivex_ASVs","Ponte_Low_2021_Sterivex_OTUs","Ponte_Low_2021_Sterivex_RRA","Fundação_Low_2021_Sterivex_Reads","Fundação_Low_2021_Sterivex_ASVs","Fundação_Low_2021_Sterivex_OTUs","Fundação_Low_2021_Sterivex_RRA","Prainha_Full_2022_MCE_Reads","Prainha_Full_2022_MCE_ASVs","Prainha_Full_2022_MCE_OTUs","Prainha_Full_2022_MCE_RRA","Barragem_Full_2022_MCE_Reads","Barragem_Full_2022_MCE_ASVs","Barragem_Full_2022_MCE_OTUs","Barragem_Full_2022_MCE_RRA","Ponte_Full_2022_MCE_Reads","Ponte_Full_2022_MCE_ASVs","Ponte_Full_2022_MCE_OTUs","Ponte_Full_2022_MCE_RRA","Fundação_Full_2022_MCE_Reads","Fundação_Full_2022_MCE_ASVs","Fundação_Full_2022_MCE_OTUs","Fundação_Full_2022_MCE_RRA"
"20","Aves","Gallus gallus","Gallus gallus",267,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,1,1,0.0864,NA,NA,NA,NA,20,1,1,0.0084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Actinopteri","Geophagus brasiliensis","Geophagus brasiliensis",16502,16502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16461,3,2,5.7567,11,1,1,0.0035,9,1,1,0.0038,9,1,1,0.9626,12,1,1,0.0207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Actinopteri","Gymnotus carapo","Gymnotus carapo",914,6421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,8e-04,11,1,1,0.0026,5,1,1,0.001,892,2,1,0.3119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Actinopteri","Gymnotus carapo","Gymnotus sylvius",5507,6421,3,1,1,5e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814,1,1,0.2847,NA,NA,NA,NA,4690,1,1,1.9677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Actinopteri","Hemigrammus marginatus","Hemigrammus marginatus",66161,66161,66126,6,2,11.7105,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,8e-04,29,2,2,0.0069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Mammalia","Homo sapiens","Homo sapiens",45939,45939,1672,3,2,0.2961,320,5,3,0.7729,383,6,4,0.0851,9,2,2,0.0013,126,2,2,0.0299,NA,NA,NA,NA,2103,5,3,0.7355,104,1,1,0.0334,12912,6,2,5.4172,80,1,1,8.5561,25685,12,4,44.2852,2501,4,3,2.0461,23,1,1,100,21,1,1,100
"26","Actinopteri","Hoplias intermedius","Hoplias intermedius",549244,549244,97319,8,2,17.2345,19691,1,1,47.5582,74908,2,2,16.6393,202208,8,4,28.2841,45301,2,2,10.7663,19461,4,2,3.7727,9701,1,1,3.3926,64184,8,3,20.602,2206,1,1,0.9255,40,1,1,4.2781,48,1,1,0.0828,14177,6,2,11.5986,NA,NA,NA,NA,NA,NA,NA,NA
"27","Actinopteri","Hoplias malabaricus","Hoplias malabaricus",13605,13605,2256,2,2,0.3995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,0.0014,NA,NA,NA,NA,3649,2,2,1.2761,52,2,2,0.0167,7565,2,2,3.1739,40,1,1,4.2781,NA,NA,NA,NA,37,1,1,0.0303,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mammalia","Hydrochaeris hydrochaeris","Hydrochaeris hydrochaeris",44796,44796,169,2,2,0.0299,NA,NA,NA,NA,5979,4,2,1.3281,5668,2,2,0.7928,127,2,2,0.0302,NA,NA,NA,NA,239,2,1,0.0836,32572,7,3,10.4551,20,1,1,0.0084,5,1,1,0.5348,6,1,1,0.0103,11,1,1,0.009,NA,NA,NA,NA,NA,NA,NA,NA
"29","Actinopteri","Hypostomus sp.","Hypostomus affinis",22416,22416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13920,6,2,4.8681,7,1,1,0.0022,8468,2,1,3.5528,NA,NA,NA,NA,9,1,1,0.0155,12,1,1,0.0098,NA,NA,NA,NA,NA,NA,NA,NA
